ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,Type,Product Class,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Counter Depth,Height (in),Width (in),Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Connected Functionality,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2019 Criteria
2274534,Liebherr,HC 1550,,Bottom Freezer,5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,Yes,No,Yes,Yes,79.5,29.9,14.1,17.4,507,584,15,No,,,,08/15/2016,08/05/2016,"United States, Canada",ES_1017655_HC 1550_08102016031203_70092721,No
2274535,Liebherr,HC 1551,,Bottom Freezer,5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,Yes,No,Yes,Yes,79.5,29.9,14.1,17.4,507,584,15,No,,,,08/15/2016,08/05/2016,"United States, Canada",ES_1017655_HC 1551_08102016031203_70092721,No
2222464,Liebherr,HC 2060,,Bottom Freezer,5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,Yes,No,Yes,Yes,79.5,35.5,19.5,24.1,561,647,15,No,,,,10/06/2014,09/22/2014,"United States, Canada",ES_1017655_HC 2060_10022014105208_2767851,No
2222462,Liebherr,HC 2062,,Bottom Freezer,5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,Yes,No,Yes,Yes,79.5,35.5,19.5,24.1,561,647,15,No,,,,10/06/2014,09/22/2014,"United States, Canada",ES_1017655_HC 2062_10022014105208_2767851,No
2312308,Liebherr,HC 2080,,Bottom Freezer,5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,Yes,No,Yes,Yes,79.8,35.9,19.5,24.1,561,647,15,No,,,,05/07/2018,03/02/2018,"United States, Canada",ES_1017655_HC 2080_03062018040405_70174509,No
2312309,Liebherr,HC 2081,,Bottom Freezer,5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,Yes,No,Yes,Yes,79.8,35.9,19.5,24.1,561,647,15,No,,,,05/07/2018,03/02/2018,"United States, Canada",ES_1017655_HC 2081_03062018040405_70174509,No
2312310,Liebherr,HC 2082,,Bottom Freezer,5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,Yes,No,Yes,Yes,79.8,35.9,19.5,24.1,561,647,15,No,,,,05/07/2018,03/02/2018,"United States, Canada",ES_1017655_HC 2082_03062018040405_70174509,No
2270236,Liebherr,HC700B,,Compact,11 - Compact Refrigerator and Refrigerator-Freezer other than All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,47.9,21.3,7.1,7.5,287,320,10,No,,,,05/01/2016,06/10/2016,"United States, Canada",ES_1017655_HC700B_06212016035918_70083751,No
2286867,Liebherr,HCB1060,,Bottom Freezer,5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,Yes,No,Yes,No,69.7,22,8.7,10.5,475,520,10,No,,,,11/28/2016,11/23/2016,"United States, Canada",ES_1017655_HCB1060_12222016113914_70104646,No
2222459,Liebherr,HCB 1560,,Bottom Freezer,5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,Yes,No,Yes,Yes,79.5,29.9,14.1,17.4,507,584,15,No,,,,10/06/2014,09/22/2014,"United States, Canada",ES_1017655_HCB 1560_10022014105208_2767851,No
