ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,Cooling Capacity (Btu/hr),Type,Reverse Cycle,Casement Window,Product Class,Variable Speed Compressor,Energy Efficiency Ratio (EER),Combined Energy Efficiency Ratio (CEER),Percent Less Energy Use than US Federal Standard,Annual Energy Use (kWh/yr),Connected Functionality,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier
2289284,Soleus Air,WM1-15E-**,",WS1-15E-**,",15400,Window,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",,,11.8,10,979,No,,,,01/20/2017,01/24/2017,"United States, Canada",ES_1135749_WM1-15E-**_01252017033734_5454042
2289285,Soleus Air,WM1-18E-**,",WS1-18E-**,",18300,Window,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",,,11.8,10,1163,No,,,,01/20/2017,01/24/2017,"United States, Canada",ES_1135749_WM1-18E-**_01252017033745_5465882
2289279,Soleus Air,WM1-24E-**,",WS1-24E-**,",24700,Window,No,None,"5a. Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",,,10.3,10,1798,No,,,,01/20/2017,01/24/2017,"United States, Canada",ES_1135749_WM1-24E-**_01252017033805_5485630
2284192,SPT,WA-1022S1,,10000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,625,No,,,,11/15/2016,11/15/2016,"United States, Canada",ES_1084573_WA-1022S1_11162016044525_1525217
2284191,SPT,WA-1222S1,",WA-12FMS1,",12000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,750,No,,,,11/15/2016,11/15/2016,"United States, Canada",ES_1084573_WA-1222S1_11162016044018_1218812
2335307,TCL,TAW08CREB19W,",TWAC-08CRA1/L0U(ES),; ,TWC-08CR/UH (ES),; ,TWC-08CR/UH(ES),; ,TWC-08CR/UH-C,; ,TWC-08CRA1/L0U(ES),; ,TWC-08CRW/UH(ES),; ,TWC-08CRW/UH,; ,TWC-08CRW/UH-C(ES),",8000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,,12,10,500,No,,,,12/20/2018,03/25/2019,United States,ES_1126578_TAW08CREB19W_12142018164738_5298730
2328372,TCL,TAW15CRE19,,15000,Window,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",,,11.8,10,953,No,,,,10/23/2018,10/23/2018,United States,ES_1126578_TAW15CRE19_10252018074539_3539986
2332372,TCL,TFWAC-05CRA1/K0U(ES),,5250,Window,No,None,"1. Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",No,,12.1,10,325,No,,,,01/28/2019,01/29/2019,United States,ES_1126578_TFWAC-05CRA1/K0U(ES)_01292019081714_9834685
2320502,TCL,TTW-08CRA1/J6U(ES),,8000,Through the Wall,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",,,10.6,10,566,No,,,,05/28/2018,05/28/2018,United States,ES_1126578_TTW-08CRA1/J6U(ES)_05282018075126_3886047
2320503,TCL,TTW-10CRA1/J6U(ES),,10000,Through the Wall,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",,,10.6,10,708,No,,,,05/28/2018,05/28/2018,United States,ES_1126578_TTW-10CRA1/J6U(ES)_05282018080139_4499484
