ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Load Configuration,Additional Washer Features,Intended Market,Volume (cu. ft.),Integrated Modified Energy Factor (IMEF),US Federal Standard (IMEF),Annual Energy Use (kWh/yr),Integrated Water Factor (IWF),US Federal Standard (IWF),Annual Water Use (gallons/yr),Connected,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Paired ENERGY STAR Clothes Dryer Available,Paired ENERGY STAR Clothes Dryer ENERGY STAR Model Identifier,Date Available On Market,Date Certified,Markets,ENERGY STAR Model Identifier,Meets ENERGY STAR Most Efficient 2019 Criteria
2310499,LG,WM3275C*,,1,Front Load,None,Residential,4.5,2.92,1.84,90,3.2,4.7,4220,No,,,,No,,07/29/2016,02/09/2018,"United States, Canada",ES_1118034_WM3275C*_02092018060252_70172585,No
2319458,LG,WM3500C*,,1,Front Load,None,Residential,4.5,2.92,1.84,100,2.9,4.7,3841,No,,,,No,,05/09/2018,05/04/2018,"United States, Canada",ES_1118034_WM3500C*_05072018024107_70182073,Yes
2320405,LG,WM3505C*,,1,Front Load,None,Residential,4.5,2.92,1.84,100,2.9,4.7,3841,No,,,,No,,05/18/2018,05/16/2018,"United States, Canada",ES_1118034_WM3505C*_05242018111228_70184257,No
2310484,LG,WM3575C*,,1,Front Load,None,Residential,4.5,2.92,1.84,90,3.2,4.7,4239,No,,,,No,,07/28/2016,02/08/2018,"United States, Canada",ES_1118034_WM3575C*_02092018060252_70172585,No
2310497,LG,WM3670H*A,,1,Front Load,"Steam Cycle,Sanitize Option",Residential,4.5,2.92,1.84,100,3.2,4.7,4220,No,,,,No,,09/01/2016,02/09/2018,"United States, Canada",ES_1118034_WM3670H*A_02092018060252_70172585,No
2318268,LG,WM3700H*A,,1,Front Load,None,Residential,4.5,2.92,1.84,105,2.9,4.7,3841,No,,,,No,,04/21/2018,04/09/2018,"United States, Canada",ES_1118034_WM3700H*A_04102018113028_70179308,Yes
2310488,LG,WM3770H*A,,1,Front Load,"Steam Cycle,Sanitize Option",Residential,4.5,2.92,1.84,105,3.2,4.7,4239,No,,,,No,,07/22/2016,02/08/2018,"United States, Canada",ES_1118034_WM3770H*A_02092018060252_70172585,No
2332574,LG,WM3900H*A,,1,Front Load,None,Residential,4.5,2.92,1.84,105,2.9,4.7,3841,No,,,,No,,01/18/2018,01/18/2018,"United States, Canada",ES_1118034_WM3900H*A_01302019062911_70213034,Yes
2310485,LG,WM4370H*A,,1,Front Load,"Steam Cycle,Sanitize Option",Residential,4.5,2.92,1.84,105,3.2,4.7,4239,No,,,,No,,07/22/2016,02/08/2018,"United States, Canada",ES_1118034_WM4370H*A_02092018060252_70172585,No
2310475,LG,WM5000H*A,,1,Front Load,"Steam Cycle,Sanitize Option",Residential,4.5,2.92,1.84,105,2.8,4.7,3676,No,,,,No,,05/24/2017,02/08/2018,"United States, Canada",ES_1118034_WM5000H*A_02092018060252_70172585,No
